farm_size_ha,years_experience,current_debt_php,crop_type,loan_repayment_hist,irrigation_access,avg_yield_tons_ha,credit_risk
2.56,18,97852,Vegetable,0,0,3.33,High
3.85,12,138593,Soybean,1,1,0.95,Low
5.22,8,18474,Rice,1,1,3.36,Low
5.71,8,55718,Vegetable,1,1,2.49,Low
1.14,18,44629,Rice,0,0,6.1,High
5.58,28,45232,Soybean,0,1,1.51,High
3.11,30,86544,Vegetable,0,1,4.52,High
1.77,20,50669,Soybean,0,1,1.1,High
2.92,30,69184,Soybean,0,1,3.34,Low
5.89,15,13140,Rice,1,1,3.96,Low
3.11,27,126468,Vegetable,1,0,2.5,Low
2.17,7,83457,Soybean,1,1,3.39,High
3.91,11,14357,Vegetable,1,1,1.73,Low
1.67,20,111672,Rice,0,0,2.53,High
0.73,16,68673,Soybean,0,1,4.34,High
1.03,4,121673,Rice,1,1,2.52,High
1.03,6,65633,Vegetable,1,1,5.93,High
1.17,26,96111,Vegetable,0,0,4.38,High
1.09,22,78258,Rice,1,1,3.3,Low
3.95,26,143996,Corn,1,0,1.02,Low
1.34,3,69286,Soybean,1,1,3.65,High
2.27,9,93269,Vegetable,1,0,5.16,High
5.41,28,74071,Vegetable,0,1,2.31,High
3.0,10,30651,Soybean,1,0,5.4,High
4.11,14,70202,Rice,1,0,2.24,Low
1.28,11,48777,Rice,1,0,5.5,Low
1.4,18,148066,Rice,0,1,1.29,High
0.53,22,67263,Corn,1,1,5.74,Low
1.26,12,100158,Corn,1,1,3.65,Low
1.89,23,10800,Vegetable,1,1,2.49,Low
1.31,12,37823,Rice,1,1,2.31,Low
0.81,13,63878,Soybean,1,0,3.26,High
0.99,25,18708,Vegetable,0,1,6.49,High
2.93,13,143891,Soybean,1,1,2.06,High
1.48,19,63870,Vegetable,1,0,1.39,High
2.38,26,9283,Corn,0,0,4.13,Low
3.17,19,78707,Vegetable,1,1,3.58,Low
4.24,23,5774,Corn,1,0,3.79,Low
0.52,14,142055,Vegetable,1,1,4.6,Low
4.86,4,96468,Rice,0,0,2.32,High
3.88,13,96334,Soybean,1,0,5.99,Low
0.77,8,18133,Rice,0,0,3.28,High
5.28,29,146011,Vegetable,0,0,1.54,High
5.55,23,781,Vegetable,1,1,5.03,Low
0.65,21,114586,Vegetable,0,1,4.47,High
1.88,23,27624,Corn,1,0,2.6,Low
4.9,19,6823,Soybean,1,1,4.34,Low
4.57,12,18489,Soybean,0,0,2.05,High
1.35,18,29118,Vegetable,0,1,3.34,High
1.49,6,100417,Vegetable,0,1,5.93,High
2.41,18,81816,Corn,1,1,1.56,Low
3.06,19,13565,Rice,1,1,3.0,Low
3.82,22,91179,Rice,0,0,5.48,Low
2.4,5,23648,Soybean,1,0,6.33,High
2.94,24,41971,Corn,1,0,3.39,Low
4.56,9,18658,Vegetable,1,0,3.69,Low
0.51,27,21253,Soybean,1,0,4.06,High
1.74,3,88664,Corn,0,0,6.11,High
4.37,28,103850,Rice,1,1,5.69,Low
5.4,10,137924,Corn,0,0,1.77,High
3.22,19,133623,Rice,1,1,3.29,Low
3.33,3,71947,Corn,0,1,3.44,High
0.91,29,61001,Soybean,1,0,5.3,High
2.85,29,122775,Rice,1,1,4.24,Low
3.34,22,33243,Soybean,1,1,4.53,Low
1.68,15,75939,Soybean,1,1,6.49,Low
1.83,1,57828,Rice,1,1,1.23,Low
2.45,7,138311,Rice,0,0,2.07,High
0.41,12,6710,Vegetable,0,1,3.13,High
2.14,17,37991,Vegetable,1,1,2.78,Low
1.51,30,138043,Vegetable,1,1,0.92,High
2.17,21,85445,Soybean,1,1,1.32,High
0.98,26,80257,Soybean,1,0,4.68,High
5.38,29,37711,Vegetable,0,1,5.81,Low
3.68,24,6530,Soybean,0,0,3.73,High
4.17,20,11116,Soybean,1,0,3.87,Low
4.8,5,65794,Rice,1,0,2.25,High
3.14,4,131354,Rice,1,0,5.18,Low
0.8,28,132970,Soybean,0,0,5.09,High
3.36,12,4135,Vegetable,1,1,4.15,Low
3.64,30,137701,Corn,0,1,2.01,Low
4.55,20,109472,Vegetable,0,1,1.35,High
2.76,28,125147,Corn,1,0,1.17,High
1.03,24,89087,Vegetable,0,1,4.18,High
1.92,18,33380,Rice,1,1,5.5,Low
2.37,17,129951,Soybean,0,1,5.69,Low
3.98,19,17071,Soybean,1,1,3.44,Low
3.55,9,20074,Rice,1,1,5.27,Low
2.33,4,67843,Corn,0,0,6.2,High
5.92,26,39901,Corn,0,1,2.37,Low
3.75,21,11205,Corn,0,0,3.07,High
1.65,2,124661,Rice,1,0,6.11,High
0.88,4,5906,Corn,0,1,2.73,High
1.17,2,133663,Rice,1,1,6.01,Low
1.7,15,125576,Vegetable,0,1,6.39,High
1.22,2,62987,Vegetable,1,1,4.57,Low
1.36,4,80685,Rice,0,0,5.46,High
1.93,6,110454,Soybean,0,1,5.07,High
1.29,7,105487,Vegetable,0,1,4.79,High
5.41,10,54400,Corn,1,0,2.55,Low
0.76,19,31852,Rice,1,0,1.13,High
3.29,19,52756,Corn,0,0,2.76,High
2.64,26,115357,Corn,1,0,4.6,Low
5.9,22,119052,Soybean,0,0,1.38,High
0.94,29,56481,Corn,1,1,0.87,High
2.57,12,1283,Soybean,1,0,1.6,High
5.83,3,33691,Vegetable,0,1,4.88,Low
5.23,13,132197,Rice,0,0,6.34,Low
4.96,18,26170,Corn,1,0,6.4,Low
1.77,8,8438,Rice,1,1,3.62,Low
1.27,21,20095,Corn,1,0,5.76,Low
4.11,15,147226,Rice,0,0,5.0,Low
5.6,1,139076,Corn,1,1,3.66,High
3.47,3,9752,Corn,0,0,4.06,High
3.56,26,55426,Corn,0,1,1.58,Low
1.9,8,26819,Corn,1,0,6.14,Low
4.69,4,92051,Corn,0,0,2.81,High
1.37,16,32994,Corn,1,0,3.34,Low
2.14,30,146108,Corn,1,0,4.63,Low
2.72,23,97756,Corn,0,0,2.7,High
3.19,10,140659,Corn,1,0,2.25,High
1.68,12,95665,Rice,1,1,4.4,Low
0.95,14,131717,Soybean,1,0,0.94,High
3.78,14,81835,Corn,1,1,4.91,Low
1.95,2,122232,Soybean,1,0,3.73,High
3.61,23,149960,Corn,0,1,4.25,Low
1.18,5,43732,Corn,0,1,4.4,High
3.04,5,46305,Rice,0,0,3.8,High
3.34,6,9346,Vegetable,1,1,4.12,Low
0.6,13,587,Vegetable,1,1,4.7,Low
2.22,9,12763,Rice,1,1,5.09,Low
1.07,30,69615,Soybean,1,1,4.95,Low
0.66,22,120987,Vegetable,1,1,5.76,Low
5.94,28,91353,Rice,1,1,1.88,Low
2.14,29,95648,Rice,1,1,3.09,Low
4.92,15,25556,Vegetable,1,1,6.2,Low
1.75,14,59042,Soybean,0,0,3.06,High
4.18,24,18099,Rice,0,1,1.51,Low
4.63,7,109089,Corn,0,0,3.8,High
3.7,25,144302,Soybean,0,0,1.42,High
2.99,20,33866,Soybean,0,1,1.96,High
2.65,2,105400,Vegetable,1,0,6.49,High
2.29,7,84246,Vegetable,1,0,3.89,High
5.6,6,76975,Corn,0,0,2.42,High
5.03,17,81557,Rice,0,0,6.47,Low
5.8,27,137488,Vegetable,0,1,6.31,Low
1.01,25,72516,Vegetable,0,0,3.31,High
4.47,25,149130,Soybean,1,0,2.28,High
5.65,28,32602,Vegetable,0,0,5.58,Low
1.33,2,129295,Vegetable,0,1,4.88,High
0.68,3,87969,Vegetable,1,0,4.72,High
4.52,5,132161,Vegetable,0,0,5.89,High
3.57,5,141559,Soybean,1,1,4.73,Low
5.1,1,155,Corn,0,1,2.42,High
1.1,8,123950,Corn,0,1,4.76,High
4.83,12,67494,Rice,1,0,2.54,Low
1.45,24,76229,Vegetable,0,0,5.13,High
1.23,4,104648,Soybean,1,0,4.33,High
1.24,13,38547,Rice,0,1,1.24,High
4.94,23,28795,Rice,1,0,3.72,Low
4.09,15,21447,Corn,0,1,2.76,High
3.28,11,87960,Soybean,1,0,2.67,High
2.35,10,63278,Soybean,0,0,4.23,High
5.3,3,55077,Soybean,1,0,2.64,High
2.54,22,112782,Corn,0,0,5.23,High
4.95,14,102932,Corn,0,0,1.2,High
2.8,16,140600,Corn,0,1,4.56,Low
2.45,10,109869,Corn,0,0,5.41,High
2.94,29,139251,Corn,0,0,4.64,High
2.02,10,48781,Vegetable,1,0,3.63,Low
4.56,12,53798,Vegetable,1,1,6.22,Low
3.17,30,98696,Soybean,1,1,2.51,Low
1.62,9,50939,Rice,0,1,0.91,High
5.43,1,29516,Soybean,0,0,3.26,High
2.49,5,141521,Rice,1,1,0.99,Low
3.4,20,50290,Corn,0,1,6.24,Low
5.47,8,126688,Rice,0,1,2.0,High
3.86,11,86661,Soybean,0,1,5.3,High
0.97,12,72954,Soybean,1,0,5.22,High
5.66,1,22746,Rice,1,1,2.04,Low
3.88,25,67990,Vegetable,1,0,4.34,Low
2.21,22,58810,Corn,0,0,1.07,High
1.09,20,118362,Corn,1,0,3.56,High
4.83,28,146295,Soybean,1,1,0.88,Low
3.83,25,133669,Vegetable,0,0,6.05,High
3.34,11,2659,Rice,0,0,6.36,Low
5.4,5,86516,Corn,0,0,2.07,High
4.8,15,74567,Vegetable,1,0,1.99,Low
1.16,5,15037,Corn,1,1,5.1,Low
2.08,12,126498,Vegetable,0,1,2.24,High
1.72,5,12109,Vegetable,1,1,5.9,Low
4.54,17,22010,Soybean,1,0,4.07,Low
0.49,17,8787,Corn,1,1,2.8,Low
3.55,24,139544,Rice,1,1,5.55,Low
4.65,12,61709,Soybean,1,0,3.61,Low
5.3,24,34518,Soybean,1,1,6.0,Low
2.25,28,53909,Rice,1,1,6.09,Low
4.98,15,18351,Soybean,1,1,1.74,Low
0.93,15,15282,Vegetable,0,1,0.81,High
5.12,6,5075,Vegetable,1,1,6.41,Low
1.03,12,28365,Corn,0,0,5.96,High
2.56,27,11002,Corn,1,0,1.12,Low
4.84,29,13947,Rice,1,0,5.55,Low
1.15,20,94840,Corn,0,0,3.41,High
1.61,18,116219,Vegetable,1,0,2.28,Low
4.42,14,78610,Rice,1,1,5.81,Low
4.4,2,52142,Rice,1,0,1.92,High
3.95,9,56307,Corn,0,0,6.2,Low
4.26,5,135565,Vegetable,1,0,1.97,High
3.39,20,50085,Rice,1,0,4.3,Low
1.74,26,34228,Vegetable,0,1,2.07,High
2.27,29,43472,Vegetable,1,1,3.91,Low
1.34,1,49437,Vegetable,1,1,4.7,Low
5.48,23,59711,Corn,1,0,1.88,Low
3.63,3,137888,Soybean,0,0,3.77,High
2.58,6,77175,Soybean,1,0,3.47,Low
2.93,5,64307,Rice,1,1,1.2,Low
5.7,21,46733,Vegetable,1,0,5.46,Low
1.17,27,128202,Corn,0,1,2.71,High
3.64,5,95028,Vegetable,1,1,4.08,Low
3.18,1,142312,Vegetable,0,1,3.73,High
3.79,17,92493,Corn,1,0,3.73,Low
0.4,19,125149,Soybean,0,0,1.41,High
5.27,14,8259,Vegetable,0,0,3.21,High
5.61,12,128775,Vegetable,1,1,3.38,Low
3.52,10,14849,Soybean,1,0,4.98,Low
4.27,20,81768,Corn,1,0,5.59,Low
5.56,21,106108,Rice,1,1,3.91,Low
4.33,18,89709,Soybean,0,0,1.29,High
1.17,24,54869,Rice,1,0,2.15,High
3.58,27,126888,Rice,1,0,1.74,Low
3.76,11,63095,Soybean,1,0,1.51,Low
2.72,30,117886,Vegetable,0,0,2.89,High
4.5,2,70910,Rice,1,1,2.11,Low
5.63,25,23567,Rice,1,0,2.04,Low
5.58,18,35292,Corn,1,1,1.11,Low
2.87,29,74813,Vegetable,0,1,0.9,High
0.95,25,97136,Rice,0,1,1.39,High
5.91,7,51631,Corn,1,0,1.78,Low
5.08,24,9885,Vegetable,1,0,3.26,Low
1.01,15,66314,Soybean,1,1,3.71,Low
5.55,11,65087,Soybean,1,0,1.6,Low
5.26,18,95998,Corn,0,0,3.22,High
3.26,23,49812,Soybean,0,1,2.75,High
3.67,12,58643,Rice,1,1,1.85,High
2.57,6,44900,Vegetable,0,0,0.84,High
0.61,20,138923,Rice,1,1,3.46,High
2.21,23,16288,Rice,0,0,4.71,Low
4.88,30,72692,Soybean,0,1,2.09,High
0.33,13,138440,Rice,1,0,1.55,Low
2.2,20,85436,Soybean,0,0,5.86,High
2.57,16,46403,Vegetable,1,0,2.37,High
3.36,18,91170,Vegetable,1,0,2.07,Low
5.54,10,9168,Rice,1,0,5.69,Low
2.27,28,49879,Corn,1,0,5.46,Low
2.28,23,59871,Soybean,0,0,3.36,High
4.5,8,32174,Soybean,0,1,3.59,High
2.88,18,137653,Rice,0,0,2.04,High
1.58,21,110155,Soybean,0,1,1.25,High
2.88,1,71853,Soybean,0,0,4.07,High
1.1,23,64046,Corn,1,1,1.36,High
1.31,8,49678,Corn,1,0,3.36,High
3.14,29,26649,Rice,1,1,6.16,Low
2.69,6,127795,Corn,0,0,6.23,High
5.51,5,88668,Rice,0,0,2.16,High
2.37,15,145639,Vegetable,1,1,4.36,Low
3.61,22,89906,Rice,0,0,3.5,High
3.9,15,96019,Vegetable,0,1,5.79,High
0.37,2,78002,Rice,1,0,2.35,High
4.08,1,28803,Soybean,1,0,0.82,High
1.31,23,149302,Corn,1,1,1.73,Low
5.78,23,148934,Vegetable,1,0,2.79,Low
1.15,26,30795,Rice,1,1,2.6,Low
2.66,11,8770,Corn,1,1,5.31,Low
0.79,10,11093,Rice,1,0,4.68,High
5.98,30,131265,Corn,1,1,2.51,Low
3.16,18,100311,Corn,0,0,3.41,High
3.69,18,17569,Rice,1,0,1.34,Low
0.68,17,11190,Vegetable,0,1,5.92,Low
4.57,26,62824,Vegetable,1,0,6.13,Low
1.5,8,42070,Soybean,1,1,6.38,Low
5.42,15,40197,Corn,0,1,5.75,Low
1.47,8,2261,Soybean,1,1,1.79,Low
1.39,17,137788,Soybean,1,1,1.06,High
0.51,12,86795,Rice,0,1,4.1,High
2.99,27,28933,Rice,1,1,6.0,Low
3.52,8,135450,Rice,1,0,1.81,High
0.67,25,40583,Corn,1,0,0.84,Low
4.72,14,112082,Rice,1,0,5.39,Low
2.88,4,85371,Rice,1,0,1.24,High
3.29,1,111032,Corn,1,0,3.16,High
2.81,1,42604,Corn,0,1,4.67,High
2.58,19,95074,Vegetable,0,0,2.15,High
3.49,16,73869,Rice,0,0,1.28,High
1.18,14,5410,Rice,0,1,5.19,High
1.34,21,83375,Rice,0,0,4.39,High
5.21,16,96055,Vegetable,1,0,6.43,Low
5.69,5,137868,Rice,0,0,2.76,High
2.43,9,86716,Vegetable,0,0,1.15,High
1.84,26,54245,Soybean,0,1,4.99,High
3.97,30,43056,Vegetable,1,1,3.77,Low
2.63,28,148781,Soybean,1,1,2.02,High
0.44,2,58557,Rice,1,0,5.26,High
1.19,18,17543,Soybean,0,1,1.96,High
4.38,6,96038,Vegetable,1,0,2.29,High
4.06,9,147796,Corn,0,1,1.33,High
0.45,1,3828,Soybean,1,1,3.08,High
1.57,9,116656,Soybean,1,0,3.19,High
1.62,25,17087,Rice,1,0,3.73,Low
4.13,16,143677,Vegetable,1,1,4.84,Low
0.41,13,31337,Soybean,1,1,5.96,Low
0.89,9,136554,Soybean,1,0,1.59,High
4.86,21,65333,Soybean,0,1,1.11,High
1.32,13,136535,Soybean,1,1,0.91,High
4.02,9,70448,Corn,1,0,1.62,Low
1.66,11,4648,Vegetable,0,0,4.55,Low
0.87,4,130576,Rice,0,1,4.95,High
1.69,2,33623,Rice,0,0,5.28,High
4.42,29,35634,Corn,1,0,2.19,Low
5.18,6,114598,Vegetable,0,0,2.54,High
5.03,14,49334,Soybean,0,0,3.55,High
2.56,4,68648,Corn,1,0,1.16,High
4.11,6,22054,Vegetable,1,0,4.28,Low
1.47,19,70028,Soybean,1,0,6.41,Low
1.97,6,22207,Corn,1,1,2.86,Low
5.41,2,81554,Vegetable,0,0,5.09,High
0.37,18,83276,Rice,1,0,3.65,Low
0.79,13,52781,Rice,0,1,1.53,High
1.48,9,61035,Vegetable,1,1,4.12,Low
0.45,23,8210,Rice,1,0,2.51,Low
1.33,19,44363,Vegetable,1,0,1.0,High
3.62,13,78279,Soybean,1,1,4.42,Low
2.7,11,134393,Vegetable,0,0,5.7,High
5.39,1,81348,Soybean,0,1,2.77,High
4.96,24,113816,Corn,1,1,3.02,Low
2.25,30,123053,Vegetable,1,0,5.88,Low
1.78,22,66262,Corn,1,1,5.44,Low
2.46,7,134832,Rice,0,1,4.88,High
3.66,25,67411,Soybean,1,0,2.22,High
1.83,21,23377,Vegetable,1,1,5.99,Low
3.86,15,38211,Corn,0,1,1.68,Low
2.63,1,3744,Soybean,0,0,4.37,High
3.45,12,24995,Soybean,1,0,0.96,High
2.79,26,148049,Rice,1,0,4.47,Low
1.98,7,34542,Rice,0,0,2.38,High
5.71,15,10651,Soybean,0,1,3.36,Low
4.65,21,99239,Soybean,1,0,2.77,Low
1.1,19,78931,Vegetable,0,0,1.78,High
5.25,28,102112,Soybean,0,0,4.35,High
3.08,29,16715,Vegetable,1,0,5.83,Low
5.4,25,145448,Soybean,1,0,6.27,Low
4.86,1,61350,Rice,1,0,1.9,High
2.72,17,71425,Vegetable,0,0,4.89,High
0.43,17,86120,Corn,1,0,4.59,Low
1.83,3,114889,Rice,0,0,2.76,High
3.39,12,141130,Vegetable,0,0,0.91,High
3.91,6,74637,Vegetable,1,0,4.73,High
1.77,26,70194,Corn,0,0,6.19,High
1.09,11,76917,Vegetable,0,0,4.4,High
5.06,3,64200,Soybean,1,0,3.28,High
5.91,8,105848,Corn,1,0,3.79,Low
3.3,14,106022,Rice,1,0,1.94,High
1.28,14,148226,Rice,0,0,5.08,High
1.85,10,60058,Soybean,0,0,5.05,High
0.4,2,62068,Rice,1,0,1.63,High
5.51,14,99932,Vegetable,0,0,5.8,High
0.97,9,137103,Vegetable,1,0,2.33,High
3.59,3,22785,Soybean,1,0,6.4,High
1.86,21,94475,Rice,1,0,2.98,Low
3.46,26,2282,Rice,1,0,1.81,Low
4.01,8,67534,Soybean,1,1,2.8,Low
5.03,16,74964,Corn,1,1,3.31,Low
1.48,2,119006,Rice,1,0,1.2,High
0.36,6,50583,Corn,0,0,4.1,High
1.08,28,38392,Rice,1,0,4.21,Low
5.43,21,7461,Rice,1,0,5.01,Low
5.28,29,100123,Rice,1,0,0.97,Low
3.71,26,10516,Rice,0,0,3.89,Low
3.72,25,148586,Vegetable,1,0,1.1,High
4.09,12,121251,Corn,1,0,4.8,Low
1.3,5,62493,Corn,0,1,1.12,High
5.51,2,36027,Rice,1,0,6.0,Low
2.69,16,93547,Rice,1,0,4.8,Low
2.48,5,100127,Corn,0,1,3.69,High
3.26,15,148930,Vegetable,1,0,3.32,Low
0.57,12,79003,Soybean,1,1,1.54,High
1.25,4,39758,Soybean,1,1,2.46,High
4.51,15,54312,Corn,1,1,5.75,Low
0.77,11,68670,Rice,1,1,5.96,Low
3.74,16,82279,Rice,1,0,0.8,Low
1.7,23,15434,Vegetable,1,0,4.19,Low
2.52,6,75769,Soybean,1,0,4.9,High
1.95,14,66677,Vegetable,0,1,4.33,High
2.33,18,83555,Soybean,1,1,1.27,Low
4.4,12,128379,Corn,1,1,2.04,Low
1.99,27,101665,Soybean,0,0,2.23,High
3.53,11,68803,Vegetable,0,1,5.54,High
3.01,13,91703,Vegetable,1,0,3.44,High
4.08,21,21312,Vegetable,0,1,3.57,Low
5.64,23,117961,Corn,1,0,6.13,Low
4.48,11,40379,Soybean,1,1,4.43,Low
1.53,23,17297,Soybean,0,1,5.92,Low
0.48,16,2011,Vegetable,1,0,3.4,Low
1.79,15,120234,Soybean,1,1,1.65,High
3.69,21,44014,Rice,1,1,6.1,Low
0.59,28,142810,Rice,1,0,3.41,Low
3.13,15,94333,Rice,1,0,1.84,Low
3.7,25,11120,Soybean,0,0,2.52,High
2.21,4,139839,Corn,1,1,1.09,High
4.69,11,22852,Corn,0,1,3.47,Low
0.91,19,79239,Corn,1,1,5.66,Low
0.73,15,132001,Corn,0,1,6.12,High
4.45,4,91575,Rice,0,0,6.12,High
3.12,21,95040,Rice,0,0,1.51,High
4.22,13,148510,Vegetable,1,1,2.98,High
2.78,22,5744,Soybean,1,0,0.96,Low
1.7,19,138141,Soybean,1,1,5.67,Low
4.97,2,42359,Corn,0,0,2.84,High
4.86,14,98746,Rice,0,1,4.4,Low
4.26,29,120906,Corn,1,1,4.87,Low
1.85,4,7597,Vegetable,1,0,3.25,Low
3.66,16,47093,Soybean,1,0,2.55,Low
2.36,21,114650,Soybean,0,0,6.28,High
0.82,20,149765,Corn,1,1,6.3,Low
5.53,14,120956,Vegetable,0,1,2.45,High
1.08,27,115598,Soybean,0,0,3.53,High
5.72,29,133241,Vegetable,1,1,6.35,Low
2.84,15,8036,Vegetable,1,0,0.83,Low
